,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
168,"Dallas, TX",BMS,9535bbb17a85d9bc,"Oncology Health Systems Liaison (TX, OK)",,43.8,71,17 days,2016-10-16 00:37:13.486724
169,"Dallas, TX 75247 (Northwest Dallas area)",Quality Assurance,338b24eb8bcc87c4,Asst Scientist QC Analytical,,44.4,36,30+ days,2016-10-16 00:37:13.486724
170,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,f23cbf06b06f40f0,"Physician - Director, Harold C. Simmons Comprehsive Cancer C...",,43.8,202,30+ days,2016-10-16 00:37:13.486724
171,"Dallas, TX 75235 (Love Field area)","Peloton Therapeutics, Inc.",eb4b9d986a0af7b7,Clinical Scientist,,,,30+ days,2016-10-16 00:37:13.486724
172,"Dallas, TX",GHD,950f138f1a1c2942,Environmental Scientist / Engineer,,42.6,57,29 days,2016-10-16 00:37:13.486724
173,"Dallas, TX",Fox Television Stations,377730f5f967478c,Research Analyst,,39.6,14,30+ days,2016-10-16 00:37:13.486724
174,"Irving, TX",Volt Workforce Solutions,7a9808a6c0340e05,Support Engineer II - R Programming/Linux Administration,$20 - $25 an hour,43.2,1512,19 days,2016-10-16 00:37:13.486724
175,"Dallas, TX 75247 (Northwest Dallas area)",Quality Assurance,54f67667e78c5512,Asst Scientist Micro QC,,44.4,36,30+ days,2016-10-16 00:37:13.486724
176,"Dallas, TX","Beckman Coulter, Inc.",4db52750d0e42aa8,Field Service Engineer,,42.6,245,30+ days,2016-10-16 00:37:13.486724
177,"Irving, TX 75038",Verizon,0a874a9180499520,Senior Java Architect,,44.4,11109,30+ days,2016-10-16 00:37:13.486724
178,"Dallas, TX",HDR,8c9feffeae7c4f08,Architectural Historian,,51.0,122,30+ days,2016-10-16 00:37:13.486724
179,"Plano, TX",Capital One,0478de1d9ef05370,"Director, Assistant General Counsel - Home Loans Origination...",,44.4,2904,30+ days,2016-10-16 00:37:13.486724
180,"Plano, TX",AT&T,b949e82f00a99818,Principal Big Data Software Eng BIG DATA,,44.4,14286,30+ days,2016-10-16 00:37:13.486724
181,"Plano, TX","ReqRoute,Inc",4526c288dc5c6114,4337 -Database developer/DBA experience @Multiple location,,,,1 day,2016-10-16 00:37:13.486724
182,"Irving, TX 75038",ABBOTT LABORATORIES,5096ace45c0d41ff,Senior Scientist Technical Support,,52.199997,1279,30+ days,2016-10-16 00:37:13.486724
