,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
163,"Fairfax, VA",ICF,bc442f1e6446cd02,Business/Data Analyst,,40.8,233,9 days,2016-10-16 00:30:23.897629
164,"Washington, DC",Penn Schoen Berland,f44e7de7fe36a880,Market Research Analyst,,51.0,2,1 day,2016-10-16 00:30:23.897629
165,"McLean, VA",Prescient,23f39f0a5cc7de50,Statistical Analyst (SA),,42.0,2,24 days,2016-10-16 00:30:23.897629
166,"Washington, DC",RangTech,8a46b88b20fd1892,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
167,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",SRI International,aba43bbc21091630,Research Analyst II - Center for Technology in Learning,,43.8,56,9 days,2016-10-16 00:30:23.897629
168,"Bethesda, MD",Latitude Inc.,ab3ba5b262aec28c,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
169,"Springfield, VA",Altamira Technologies Corporation,a8daefa310f7d2ea,Data Scientist – Senior,,42.0,4,18 days,2016-10-16 00:30:23.897629
170,"Washington, DC",JPMorgan Chase,cfb95ced2812564f,J.P. Morgan Chase Institute Research Analyst - Washington DC,,44.4,10697,11 days,2016-10-16 00:30:23.897629
171,"Reston, VA",Coverent,6e9e98acde7db642,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
172,"Washington, DC",Smart Electric Power Alliance,7ca6a1c5d29e19d4,Research Analyst/Senior Research Analyst,"$55,000 - $90,000 a year",,,15 days,2016-10-16 00:30:23.897629
173,"Washington, DC",Cushman & Wakefield,a303f1b2bd4ac43f,VA Research Analyst,,51.0,74,10 days,2016-10-16 00:30:23.897629
174,"Arlington, VA",BAE Systems,ca46b9b810880d3b,Research Scientist,,44.4,1700,10 days,2016-10-16 00:30:23.897629
175,"Fairfax, VA",ICF,25a6227e95353003,ETL/Data Scientist,,40.8,233,30+ days,2016-10-16 00:30:23.897629
176,"Washington, DC",ZERO TO THREE,67107a307f840e4f,Research Analyst,,,,2 days,2016-10-16 00:30:23.897629
177,"Fairfax, VA",ICF,39c02497e5d09d25,Data Analytics Intern,,40.8,233,9 days,2016-10-16 00:30:23.897629
178,"Washington, DC",Booz Allen Hamilton,6c4fbfe321bdfc67,University - Data Analyst / Scientist,,44.4,945,30+ days,2016-10-16 00:30:23.897629
179,"McLean, VA",Capital One,168cb8c3444a082b,Data Science Manager,,44.4,2904,22 days,2016-10-16 00:30:23.897629
180,"Gaithersburg, MD",Berico Technologies,cd1108bd9f68fd74,Data Scientist,,40.2,5,30+ days,2016-10-16 00:30:23.897629
