,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
167,"Playa Vista, CA",Fullscreen,a8e5a6de4181ebba,"Director, Business Intelligence",,51.6,9,1 day,2016-10-16 00:29:05.084612
168,"Los Angeles, CA 90028",Fulcrum Labs,e2d58f393398aab7,Sales Development Representative,,,,30+ days,2016-10-16 00:29:05.084612
169,"Santa Monica, CA","Kite Pharma, Inc.",2c7891e058cceed4,Scientist / Senior Research Associate - Flow Cytometry,,,,4 days,2016-10-16 00:29:05.084612
170,"Los Angeles, CA",Analytic Recruiting,956f97b961702e74,"Quantitative Risk Analyst (SQL, Visual Studio)-Fixed Income...",,51.0,2,30+ days,2016-10-16 00:29:05.084612
171,"Woodland Hills, CA 91367","Health Net, Inc.",df78f35f07536a5a,"Manager, Data Analysis",,44.4,605,27 days,2016-10-16 00:29:05.084612
172,"Pasadena, CA",Datalogic,99f027742f210c15,Machine Learning Research Scientist,,51.6,15,30+ days,2016-10-16 00:29:05.084612
173,"Los Angeles, CA",Gabetti,cd0ef83ddbb79149,Stage Market research Analyst (Rif. Mark Res 1),,,,30+ days,2016-10-16 00:29:05.084612
174,"Fullerton, CA 92831",CWE,6890703d504f908b,Scientist II or Engineer II,,,,24 days,2016-10-16 00:29:05.084612
175,"Los Angeles, CA",UCLA Health,516736f6b6972f28,Sr. Nuc Med Technologist,,42.0,23,16 days,2016-10-16 00:29:05.084612
176,"Cypress, CA",DiaSorin,d5d23763bab23769,R&D Research Associate I - DiaSorin Molecular LLC,,43.8,8,25 days,2016-10-16 00:29:05.084612
177,"El Segundo, CA 90245",The Aerospace Corporation,9743d3260ff44b36,Postdoc I,,52.199997,46,9 days,2016-10-16 00:29:05.084612
178,"Los Angeles, CA 90035",Compass,154f85750f79048d,New Development Research Analyst,,43.8,696,30 days,2016-10-16 00:29:05.084612
179,"Long Beach, CA 90808",2020ITServices,26d21ac1cef066a4,NLP/Machine Learning,,,,4 days,2016-10-16 00:29:05.084612
180,"Los Angeles, CA",UCLA Health,7cf9a5d3f2737716,Project Manager - Westwood,,42.0,23,20 days,2016-10-16 00:29:05.084612
181,"Los Angeles, CA","Tri Alpha Energy, Inc.",901006d61ba92639,Senior Development Engineer,,,,19 days,2016-10-16 00:29:05.084612
182,"Canoga Park, CA",Thermo Fisher Scientific,bc98aed5d732a7bc,"Staff Scientist, Bioinformatics",,43.2,980,4 days,2016-10-16 00:29:05.084612
183,"El Segundo, CA 90245",The Aerospace Corporation,dd9e32aafe777767,Space Security Threat Analyst,,52.199997,46,9 days,2016-10-16 00:29:05.084612
184,"Woodland Hills, CA 91367","Health Net, Inc.",fb7c9ef3618c1470,Sr Research Analyst 9422,,44.4,605,10 days,2016-10-16 00:29:05.084612
185,"Cypress, CA",DiaSorin,6312c777691d91c8,Senior Scientist,,43.8,8,30+ days,2016-10-16 00:29:05.084612
186,"Beverly Hills, CA 90210",Netflix Inc.,fc80c40eeb9e5b15,"Associate, Marketing Experimentation & Technology",,43.8,239,8 days,2016-10-16 00:29:05.084612
